GEOID,PollutionAWeighted
06083002706,4.060214877
06037242000,6.526994177000001
06085513000,4.940370337979795
06059099232,5.568660112
06079010104,4.915418597749877
06067008130,4.203048871
06067005605,4.547450114
06037139505,6.256922708000001
06065049101,2.706007454
06001409800,4.37509544
06067002700,4.902922338
06065040405,5.876789884999999
06037480803,7.097312392999999
06037122410,7.537036175
06037271500,4.499800714
06073018302,5.368494505
06059052416,4.828576745
06059110012,6.148205002457773
06037405302,6.696977715
06037123205,7.387706851000001
06065042509,4.181811049
06065042520,3.550345986
06077003406,4.040162141
06037239602,6.905538269
06047000602,5.134947013
06037127910,6.315514484
06037310501,8.555245187
06037576901,5.088757265
06037553702,7.940350652951089
06061022500,2.5630901899999996
06019004706,5.424470866
06047000204,6.037813486
06071001704,6.927569386078892
06037212203,6.31716416
06071000307,7.343039045
06019005305,5.761369708
06037139502,7.115042999
06067004019,3.8181127839999998
06037221500,6.219253336
06067004802,4.938602098
06059074802,7.064348057
06037222002,5.014245741
06087121702,4.40143948
06037901009,4.283678473
06037113234,6.200300416999999
06075012902,5.706551031
06065030501,6.316397831953295
06001441800,3.45212053
06095252316,3.510062165
06081611901,6.572027134420848
06037269907,5.451586267
06077001102,5.060340337
06065041406,5.85609663
06067001103,6.354249037
06061021046,3.489602103
06085512031,2.789275330547844
06085511301,3.9835519470000005
06073010005,4.484104835
06059099311,3.678163149
06065043314,2.7338601909999998
06037189101,5.8344132
06013340003,3.9048013418004817
06065046800,3.935859139
06077005127,6.858538601
06001423300,6.048046311
06037541606,7.15619843
06073020903,4.417344759699653
06031000602,4.231891421
06067003001,4.854739159
06029000506,5.251107339
06001436602,4.492137993456021
06037531202,6.412705936
06037670406,2.700186149
06071000103,6.412119440000001
06037108104,3.822347989
06111008101,5.211838165
06037185320,8.555596548
06037273200,6.308832916
06037910218,5.7470636052890844
06037910504,3.760644701
06037221304,5.773805123
06089012606,3.603597941
06071002314,5.43443151
06037106646,5.925044602000001
06065043271,3.315399289
06037576601,5.661388103
06037910601,3.899931814
06075012301,5.145537469
06071008003,7.417256389
06075047902,4.544194046714907
06037570703,5.676555614021415
06079010902,4.875446033165778
06079011505,4.965287939783885
06073016301,5.449747181999999
06075011902,4.721668817
06029003806,4.279483289
06037218300,7.773770527
06037231302,5.734934589
06037543605,6.647978874
06037270102,6.812585357
06033000702,3.291249593
06037550601,8.086697302
06013355124,1.701461093
06029003815,5.361331318
06075010500,4.628372965
06099003400,7.001661272945952
06077004305,3.6592472046040934
06013340001,5.27213418676349
06075010902,4.599279172
06071000904,6.732501156
06077005221,6.920297267
06001405100,4.314256948
06029005005,5.335817094
06081600702,4.855824486440865
06037702501,6.988766095
06083002310,4.385440443
06059075506,5.138520418
06037302505,7.909256711
06081610601,4.914404734827939
06029003207,6.708137764000001
06029002303,7.0654948630000005
06059086404,7.810714229999999
06037190801,7.36310694
06093000701,4.733230595
06037535502,5.577286079943318
06001420301,6.382638927
06013339001,4.981774971933851
06067006706,5.514294966916094
06073013206,4.971086831
06029003137,5.577229567
06073008201,3.652841568
06095253403,5.4376465891097
06037191610,6.862253423000001
06081606201,6.923398872
06029003135,4.903131836
06037131702,5.833052161
06067008506,1.822145973
06073016703,5.751226276
06037231500,5.935164051
06019001413,5.5261823340000005
06017031900,2.396276826
06065040202,4.729448008286578
06037219020,5.327567406000001
06037232120,6.837669661
06065045709,3.3829950170000003
06067003102,3.7051268632808187
06081612600,4.939694206
06037211201,5.803811247
06059021817,3.8855692963516795
06037530006,6.202650029
06037554522,7.115624651000001
06059052435,5.192913956
06033001200,3.250301882299281
06067001701,6.810498705
06061021034,3.798519322357932
06037402303,7.437189452
06107002008,6.492370119604209
06037120105,6.577952389
06071003611,4.774238382
06085504321,4.084513883
06037551801,7.7140135789999995
06013345116,3.023973912
06115040100,7.813175196
06073003115,4.488653093
06073017041,3.971506878
06037651221,5.3530032610000005
06037139506,6.256922708000001
06071000903,5.878077729
06037107020,5.699624058999999
06037530302,6.466781768
06037121900,8.06001394
06085512042,3.002992916
06067001900,5.802030421
06071000605,5.518531534999999
06001401000,6.677242263729999
06055201006,3.419105428
06045011300,4.898751048772549
06023010702,4.268693702
06065041912,5.901037345478866
06067009637,1.8383741369999997
06077000102,7.794141846866484
06073021001,4.015625709
06073013424,3.4437144303185563
06067009311,2.7551187809999997
06037601600,8.247977049
06037910505,3.31247871
06085502104,4.492451507
06001425102,6.470490029581224
06085503127,5.298305265848082
06037432002,6.302277233999295
06071002037,5.434338802
06037575103,5.60851942
06063000300,4.170265099
06013389100,4.532741229043824
06037120010,7.748690546000001
06111005601,7.652135824000001
06037113324,5.767642375
06073003902,7.358200707840011
06029003124,4.84521872
06037134201,6.912173026
06037650200,7.953736202
06059099238,3.655134559
06073016620,2.839501771
06067006802,4.891144915
06037242202,7.009664601
06087121502,3.233096142
06037535503,5.176051675
06075032901,3.484056338
06085503336,3.314206045
06037910713,3.2915777809999995
06113010315,4.57256405
06075013001,5.019271308
06029003218,6.711358116
06107002701,4.524190790481653
06067008133,4.497067179
06085512005,4.3407948
06059087802,6.762486743
06107004401,6.449572500065614
06097151310,3.1606624991024095
06095252606,3.792350539
06111008307,4.240869301
06037701601,4.983585005398908
