"","County","PollutionScore","Pollution_County","CountyPercentile"
"202","Orange ",6.2722712275,402,0.661184210526316
"203","Los Angeles",6.834664643,1629,0.648745519713262
"204","Los Angeles",7.45264569133333,2015,0.802469135802469
"205","Los Angeles",4.443161242,161,0.0641178813221824
"206","San Joaquin",7.2590704195,157,0.91812865497076
"207","Contra Costa",5.146540444,164.5,0.715217391304348
"208","San Francisco",5.121050235,170,0.699588477366255
"209","Santa Clara",4.037672148,156,0.383292383292383
"210","Orange ",3.931698591,68,0.111842105263158
"211","Santa Clara",5.195296416,318,0.781326781326781
"212","Orange ",4.577093806,144,0.236842105263158
"213","San Francisco",6.39760509,223,0.917695473251029
"214","Los Angeles",6.6338149,1489,0.592990840302668
"215","Sonoma ",3.8121787585,59,0.487603305785124
"216","San Joaquin",6.634429202,123,0.719298245614035
"217","Kern ",5.567355608,135,0.555555555555556
"218","San Mateo",3.633131095,42,0.242774566473988
"219","Riverside ",3.963461124,191,0.368725868725869
"220","Los Angeles",7.285131771,1919.5,0.764436479490243
"221","Orange ",6.159063878,384,0.631578947368421
"222","Orange ",4.770044772,170,0.279605263157895
"223","Los Angeles",5.175646848,407,0.162086818000796
"224","Riverside ",5.271385213,364,0.702702702702703
"225","Riverside ",2.967518008,63,0.121621621621622
"226","San Bernardino",6.547903223,357,0.782894736842105
"227","Contra Costa",6.153011402,209,0.908695652173913
"228","Sacramento ",6.785229217,352,0.964383561643836
"229","Riverside ",6.4683767835,459,0.886100386100386
"230","Los Angeles",6.124032713,1057,0.42094782954998
"231","Santa Clara",5.7271829005,361,0.886977886977887
"232","San Diego",2.761853262,28,0.0379918588873813
"233","Stanislaus ",4.707597727,7.5,0.0675675675675676
"234","San Diego",4.969130162,448,0.6078697421981
"235","Alameda ",6.14148388,348,0.89002557544757
"236","Los Angeles",5.715511561,747,0.297491039426523
"237","Sacramento ",6.200550191,329,0.901369863013699
"238","Alameda ",3.566578939,68,0.173913043478261
"239","Los Angeles",6.3867754655,1290.5,0.513938669852648
"240","Merced ",4.583515073,3,0.046875
"241","Orange ",4.37445645833333,107,0.175986842105263
"242","Kern ",4.376398109,36,0.148148148148148
"243","Los Angeles",6.988685155,1732,0.689765033851055
"244","San Bernardino",4.270356628,123,0.269736842105263
"245","Los Angeles",6.119597706,1052,0.418956590999602
"246","Riverside ",4.121737388,215,0.415057915057915
"247","Napa ",4.335185355,19,0.422222222222222
"248","Butte ",4.757177349,36.5,0.675925925925926
"249","Los Angeles",7.003538605,1747.5,0.695937873357228
"250","Riverside ",6.7868357875,474,0.915057915057915
"251","Los Angeles",5.7651257225,779,0.310234966148945
"252","Inyo ",3.628449404,5,0.555555555555556
"253","San Diego",4.905171414,434,0.58887381275441
"254","Los Angeles",7.2130067215,1890,0.752688172043011
"255","Los Angeles",5.117110764,389,0.154918359219434
"256","San Joaquin",6.3504296415,114.5,0.669590643274854
"257","Contra Costa",5.565343241,192,0.834782608695652
"258","Sacramento ",4.001485491,151.5,0.415068493150685
"259","Fresno ",5.169737491,58,0.256637168141593
"260","Los Angeles",6.929748112,1694,0.67463162086818
"261","Los Angeles",7.983652135,2249,0.895659099960175
"262","Los Angeles",7.6147146832,2095,0.834328952608522
"263","Tehama ",4.2742238115,6,0.428571428571429
"264","Fresno ",5.28386633575,64,0.283185840707965
"265","Fresno ",4.862729544,36,0.15929203539823
"266","Tulare ",5.715058369,25,0.247524752475248
"267","Sacramento ",3.49481648,98,0.268493150684932
"268","Solano ",3.633567576,33,0.347368421052632
"269","Santa Clara",5.5054699295,342,0.84029484029484
"270","Alameda ",4.396964333,169,0.432225063938619
"271","Fresno ",6.120766977,126,0.557522123893805
"272","Contra Costa",5.226425122,176,0.765217391304348
"273","Alameda ",4.374435038,163,0.416879795396419
"274","Alameda ",5.311174632,293.5,0.750639386189258
"275","San Francisco",4.099302373,82,0.337448559670782
"276","Sacramento ",3.496494945,99,0.271232876712329
"277","Los Angeles",8.592008837,2405,0.957785742731979
"278","Alameda ",4.590274141,199,0.508951406649616
"279","Monterey ",2.530387407,10.5,0.100961538461538
"280","Los Angeles",6.268080397,1171,0.466348068498606
"281","San Francisco",3.068357593,19,0.0781893004115226
"282","Los Angeles",7.716094757,2147,0.855037833532457
"283","Alameda ",5.37358762,301,0.769820971867008
"284","Alameda ",3.852995093,97,0.248081841432225
"285","Alameda ",4.53501492275,191,0.48849104859335
"286","Mendocino ",4.3675396265,18.5,0.804347826086957
"287","Monterey ",4.396699997,66.5,0.639423076923077
"288","Riverside ",4.010215832,198,0.382239382239382
"289","Los Angeles",8.0675551965,2270.5,0.904221425726802
"290","Tulare ",6.862435791,73,0.722772277227723
"291","Los Angeles",7.194335723,1874,0.7463162086818
"292","Los Angeles",6.172982778,1096,0.436479490242931
"293","Sacramento ",6.797863961,354,0.96986301369863
"294","San Francisco",5.021837329,163.5,0.672839506172839
"295","Los Angeles",9.007562777,2461,0.980087614496217
"296","Mendocino ",2.197869154,1,0.0434782608695652
"297","Sacramento ",5.059440828,260,0.712328767123288
"298","Los Angeles",8.042383634,2263,0.901234567901235
"299","Santa Clara",3.8389920395,132,0.324324324324324
"300","San Joaquin",5.307671893,67.5,0.394736842105263
"301","Los Angeles",5.574866485,645,0.256869772998805
"302","Los Angeles",5.772669511,785,0.312624452409399
"303","Kern ",5.59747875,142.5,0.58641975308642
"304","Los Angeles",9.2466122335,2489,0.991238550378335
"305","Tulare ",6.163523586,41.5,0.410891089108911
"306","Los Angeles",5.218081105,428,0.170450019912386
"307","Alameda ",4.104722363,131,0.335038363171355
"308","Los Angeles",5.392441936,530,0.211071286340104
"309","Kern ",4.903131836,73,0.300411522633745
"310","San Diego",4.015412635,235,0.318860244233379
"311","San Diego",4.9243766865,439,0.595658073270014
"312","Los Angeles",7.879475183,2214,0.881720430107527
"313","Los Angeles",6.760509073,1573,0.626443647949024
"314","Los Angeles",7.862728561,2208,0.879330943847073
"315","Kern ",4.96360996,79,0.325102880658436
"316","Los Angeles",6.351838797,1258,0.500995619275189
"317","San Francisco",6.704105228,235,0.967078189300412
"318","San Bernardino",2.508036961,21,0.0460526315789474
"319","Los Angeles",5.995631122,952,0.379131819992035
"320","Riverside ",6.685526987,472.5,0.912162162162162
"321","Los Angeles",5.650859059,700,0.278773397052967
"322","Los Angeles",7.367208844,1976,0.786937475109518
"323","Ventura ",5.569125343,140.5,0.751336898395722
"324","Los Angeles",8.444776373,2373,0.945041816009558
"325","Stanislaus ",4.444701072,4,0.036036036036036
"326","Kern ",4.8895155255,69,0.283950617283951
"327","Riverside ",2.766079406,46,0.0888030888030888
"328","Stanislaus ",4.995782159,18.5,0.166666666666667
"329","Plumas ",2.70381674,1,0.142857142857143
"330","Los Angeles",5.398499332,539,0.214655515730785
"331","Santa Clara",4.397877645,207,0.508599508599509
"332","San Diego",4.952172827,445.5,0.604477611940298
"333","Riverside ",3.643807455,148.5,0.286679536679537
"334","Yolo ",8.291958087,53,1
"335","Alameda ",5.700892657,319,0.815856777493606
"336","Contra Costa",4.934722809,155,0.673913043478261
"337","Fresno ",4.9555005385,42,0.185840707964602
"338","Alameda ",4.986212613,257,0.657289002557545
"339","Los Angeles",7.276587375,1917,0.763440860215054
"340","San Diego",4.4072650415,321,0.435549525101764
"341","San Diego",4.200972993,271,0.367706919945726
"342","San Diego",5.616376151,592,0.80325644504749
"343","Santa Clara",6.3150270465,387,0.950859950859951
"344","Los Angeles",7.806131425,2191.5,0.872759856630824
"345","Riverside ",4.231352698,234,0.451737451737452
"346","Riverside ",5.113140946,347,0.66988416988417
"347","Sonoma ",4.6078171445,89,0.735537190082645
"348","Los Angeles",3.365250184,40,0.0159299084030267
"349","Los Angeles",8.311370786,2335,0.929908403026683
"350","San Diego",5.034792806,463.5,0.628900949796472
"351","San Diego",4.446749305,330,0.447761194029851
"352","Los Angeles",3.304606272,35,0.0139386698526483
"353","Los Angeles",5.261891885,454,0.180804460374353
"354","Los Angeles",6.560477864,1428,0.568697729988053
"355","Orange ",5.704900467,311,0.511513157894737
"356","San Francisco",5.759688654,204.5,0.84156378600823
"357","San Bernardino",5.739306435,275,0.603070175438597
"358","San Bernardino",5.912591979,300,0.657894736842105
"359","Alameda ",5.1135167,274,0.70076726342711
"360","Los Angeles",6.27447156,1179,0.469534050179211
"361","Los Angeles",NA,2505,0.997610513739546
"362","Riverside ",3.709282615,167.5,0.323359073359073
"363","San Mateo",5.814650824,140,0.809248554913295
"364","Santa Barbara",4.060214877,38,0.351851851851852
"365","Los Angeles",6.526994177,1398,0.556750298685783
"366","Santa Clara",5.018674031,295,0.724815724815725
"367","Orange ",5.568660112,285,0.46875
"368","San Luis Obispo",4.0645286305,26.5,0.395522388059701
"369","Sacramento ",4.203048871,173,0.473972602739726
"370","Sacramento ",4.547450114,209,0.572602739726027
"371","Los Angeles",6.256922708,1158.5,0.46136997212266
"372","Riverside ",2.706007454,38.5,0.0743243243243243
"373","Alameda ",4.37509544,164,0.419437340153453
"374","Sacramento ",4.902922338,245,0.671232876712329
"375","Riverside ",5.876789885,417,0.805019305019305
"376","Los Angeles",7.097312393,1810,0.720828355236957
"377","Los Angeles",7.537036175,2069,0.823974512146555
"378","Los Angeles",4.499800714,170,0.0677021107128634
"379","San Diego",5.368494505,547.5,0.742876526458616
"380","Orange ",4.828576745,179,0.294407894736842
"381","Orange ",6.92086540166667,494,0.8125
"382","Los Angeles",6.696977715,1537,0.6121067303863
"383","Los Angeles",7.387706851,1984,0.790123456790123
"384","Riverside ",4.181811049,227,0.438223938223938
"385","Riverside ",3.550345986,130,0.250965250965251
"386","San Joaquin",4.040162141,13,0.0760233918128655
"387","Los Angeles",6.905538269,1675,0.667064914376742
"388","Merced ",5.134947013,6,0.09375
"389","Los Angeles",6.315514484,1227,0.488649940262843
"390","Los Angeles",8.555245187,2398,0.95499800876145
"391","Los Angeles",5.088757265,375,0.149342891278375
"392","Los Angeles",7.438231954,2007,0.799283154121864
"393","Placer ",2.56309019,20,0.217391304347826
"394","Fresno ",5.424470866,73.5,0.325221238938053
"395","Merced ",6.037813486,24.5,0.3828125
"396","San Bernardino",6.957120109,396.5,0.869517543859649
"397","Los Angeles",6.31716416,1231,0.490242931103146
"398","San Bernardino",7.343039045,417,0.914473684210526
"399","Fresno ",5.761369708,96,0.424778761061947
"400","Los Angeles",7.115042999,1828,0.727996814018319
"401","Sacramento ",3.818112784,131.5,0.36027397260274
"402","Los Angeles",6.219253336,1126,0.448426921545201
"403","Sacramento ",4.938602098,248,0.679452054794521
"404","Orange ",7.064348057,518,0.851973684210526
"405","Los Angeles",5.014245741,340,0.135404221425727
"406","Santa Cruz",4.40143948,37.5,0.543478260869565
"407","Los Angeles",4.283678473,135,0.0537634408602151
"408","Los Angeles",6.200300417,1114,0.443647949024293
"409","San Francisco",5.706551031,201,0.827160493827161
"410","Riverside ",7.09655550266667,487,0.94015444015444
"411","Alameda ",3.45212053,54,0.138107416879795
"412","Solano ",3.510062165,31,0.326315789473684
"413","San Mateo",6.16321906733333,148,0.855491329479769
"414","Los Angeles",5.451586267,563,0.224213460772601
"415","San Joaquin",5.060340337,54,0.315789473684211
"416","Riverside ",5.85609663,416,0.803088803088803
"417","Sacramento ",6.354249037,334.5,0.916438356164384
"418","Placer ",3.489602103,52,0.565217391304348
"419","Santa Clara",3.04165551,47,0.115479115479115
"420","Santa Clara",3.983551947,149,0.366093366093366
"421","San Diego",4.484104835,338,0.458616010854817
"422","Orange ",3.678163149,47,0.0773026315789474
"423","Riverside ",2.733860191,44,0.0849420849420849
"424","Los Angeles",5.8344132,829,0.330147351652728
"425","Contra Costa",2.80681107266667,24,0.104347826086957
"426","Riverside ",3.935859139,188,0.362934362934363
"427","San Joaquin",6.858538601,131,0.766081871345029
"428","Alameda ",6.048046311,342,0.874680306905371
"429","Los Angeles",7.15619843,1857,0.739545997610514
"430","San Diego",4.7719157525,408,0.55359565807327
"431","Kings ",4.231891421,2,0.0689655172413793
"432","Sacramento ",4.854739159,233.5,0.63972602739726
"433","Kern ",5.251107339,100,0.411522633744856
"434","Alameda ",4.757554835,230,0.588235294117647
"435","Los Angeles",6.412705936,1313,0.522899243329351
"436","Los Angeles",2.700186149,6,0.002389486260454
"437","San Bernardino",6.41211944,345,0.756578947368421
"438","Los Angeles",3.822347989,83,0.0330545599362804
"439","Ventura ",5.211838165,111,0.593582887700535
"440","Los Angeles",8.555596548,2399,0.955396256471525
"441","Los Angeles",6.308832916,1217,0.484667463162087
"442","Los Angeles",4.920875694,306,0.121863799283154
"443","Los Angeles",3.760644701,78,0.031063321385902
"444","Los Angeles",5.773805123,787,0.31342094782955
"445","Shasta ",3.603597941,28,0.56
"446","San Bernardino",5.43443151,238.5,0.523026315789474
"447","Los Angeles",5.925044602,901,0.358821186778176
"448","Riverside ",3.315399289,103,0.198841698841699
"449","Los Angeles",5.661388103,706,0.281162883313421
"450","Los Angeles",3.899931814,92,0.0366387893269614
"451","San Francisco",5.145537469,176,0.724279835390947
"452","San Bernardino",7.417256389,420.5,0.922149122807018
"453","San Francisco",4.3493055805,101,0.415637860082305
"454","Los Angeles",5.5772055315,646,0.257268020708881
"455","San Luis Obispo",4.6437849485,47,0.701492537313433
"456","San Luis Obispo",4.97669982833333,54,0.805970149253731
"457","San Diego",5.449747182,563,0.763907734056988
"458","San Francisco",4.721668817,134,0.551440329218107
"459","Kern ",4.279483289,32,0.131687242798354
"460","Los Angeles",7.773770527,2177,0.866985264834727
"461","Los Angeles",5.734934589,761.5,0.30326563122262
"462","Los Angeles",6.647978874,1506.5,0.599960175228992
"463","Los Angeles",6.812585357,1613.5,0.642572680207089
"464","Lake ",3.291249593,8,0.380952380952381
"465","Los Angeles",8.086697302,2276,0.906411788132218
"466","Contra Costa",1.701461093,3.5,0.0152173913043478
"467","Kern ",5.361331318,116.5,0.479423868312757
"468","San Francisco",4.628372965,126,0.518518518518518
"469","Merced ",6.9731987996,60,0.9375
"470","San Joaquin",4.888958756,45,0.263157894736842
"471","Contra Costa",4.817754091,147.5,0.641304347826087
"472","San Francisco",4.599279172,122.5,0.504115226337449
"473","San Bernardino",6.732501156,380,0.833333333333333
"474","San Joaquin",6.920297267,141,0.824561403508772
"475","Alameda ",4.314256948,154,0.39386189258312
"476","Kern ",5.335817094,111.5,0.458847736625514
"477","San Mateo",4.7021899235,97,0.560693641618497
"478","Los Angeles",6.988766095,1733,0.690163281561131
