,GEOID,AreaWeightScore10,PollutionScore,Match,,
40,6073017050,1.852155352,4.023831015,FALSE,,
41,6083002709,4.587323315,4.587323315,TRUE,,
42,6085500400,5.689800689,5.689800689,TRUE,,
43,6037577700,2.397415576,7.194739387,FALSE,,
44,6065042411,2.729551905,2.729551905,TRUE,,
45,6059075504,6.736165444,6.736165444,TRUE,,
46,6029000904,5.320930036,5.320930036,TRUE,,
47,6037209300,7.308175323,7.308175323,TRUE,,
48,6051000101,2.12003926,4.297334643,FALSE,,
49,6067009651,6.384729248,6.384729248,TRUE,,
50,6037106510,3.386792185,6.224757062,FALSE,,
51,6037208903,6.209478371,6.209478371,TRUE,,
52,6037232402,5.972360077,5.972360077,TRUE,,
53,6059063902,2.945500208,5.798333895,FALSE,,
54,6059099222,2.187043491,4.743391766,FALSE,,
55,6061023300,1.202163003,2.793925366,FALSE,,
56,6037601002,5.686002644,5.686002644,TRUE,,
57,6037600302,3.013506761,5.667672152,FALSE,,
58,6037264304,6.476234456,6.476234456,TRUE,,
59,6071002051,4.899517018,4.899517018,TRUE,,
60,6037127805,6.038430054,6.038430054,TRUE,,
61,6059088403,6.5542295,6.5542295,TRUE,,
62,6037224410,6.545612624,6.545612624,TRUE,,
63,6067009644,3.580728434,3.580728434,TRUE,,
64,6079012102,4.553425999,4.553425999,TRUE,,
65,6037208620,6.423204599,6.423204599,TRUE,,
66,6001428301,1.587388007,5.239742536,FALSE,,
67,6023010902,1.547228514,3.29323876,FALSE,,
68,6037234001,5.246826775,5.246826775,TRUE,,
69,6037197700,8.447942138,8.447942138,TRUE,,
70,6037572600,7.830070333,7.830070333,TRUE,,
71,6017030603,3.381001408,3.381001408,TRUE,,
72,6067008129,1.872014725,3.971437524,FALSE,,
73,6081610901,4.936988098,4.936988098,TRUE,,
74,6075061501,5.773195524,5.773195524,TRUE,,
75,6037222600,5.877087153,5.877087153,TRUE,,
76,6037265420,4.957255531,4.957255531,TRUE,,
77,6073005401,3.195369354,6.529350187,FALSE,,
78,6037571704,5.456378359,5.456378359,TRUE,,
79,6083002005,3.190740811,3.190740811,TRUE,,
80,6037127103,7.320374804,7.320374804,TRUE,,
81,6037533105,5.941203127,5.941203127,TRUE,,
82,6047001503,4.991296783,4.991296783,TRUE,,
83,6037405301,3.324442438,6.024531474,FALSE,,
84,6037237500,5.397613192,5.397613192,TRUE,,
85,6053013900,3.682453121,3.682453121,TRUE,,
86,6037231100,7.511074937,7.511074937,TRUE,,
87,6059110108,2.619751392,6.50224106,FALSE,,
88,6071004003,7.310074169,7.310074169,TRUE,,
89,6037124105,5.839282864,5.839282864,TRUE,,
90,6037119320,5.816546189,5.816546189,TRUE,,
91,6037552302,7.494389669,7.494389669,TRUE,,
92,6029004302,4.676866958,4.676866958,TRUE,,
93,6001407000,4.291205429,4.291205429,TRUE,,
94,6109004201,3.070337963,3.070337963,TRUE,,
95,6013312000,1.608507229,5.642122939,FALSE,,
96,6037102103,6.284721207,6.284721207,TRUE,,
97,6067009610,2.024562511,2.024562511,TRUE,,
98,6073016619,3.699650923,3.699650923,TRUE,,
99,6073016608,3.833616399,3.833616399,TRUE,,
100,6065044804,3.357044428,3.357044428,TRUE,,
101,6067005101,5.340813559,5.340813559,TRUE,,
102,6071005101,5.576001139,5.576001139,TRUE,,
103,6019003003,5.675398381,5.675398381,TRUE,,
104,6081602202,6.55664381,6.55664381,TRUE,,
105,6037132700,7.292086616,7.292086616,TRUE,,
106,6037530203,7.347655523,7.347655523,TRUE,,
107,6053012302,2.740285738,2.740285738,TRUE,,
108,6107002903,5.569240188,5.569240188,TRUE,,
109,6073020208,1.632653455,3.232657906,FALSE,,
110,6037701602,5.83499149,5.83499149,TRUE,,
111,6037602512,8.51981049,8.51981049,TRUE,,
112,6037700502,5.588598534,5.588598534,TRUE,,
113,6037192410,5.664242237,5.664242237,TRUE,,
114,6073000800,3.602492632,3.602492632,TRUE,,
115,6085504320,3.247369657,3.247369657,TRUE,,
116,6073017605,5.472560192,5.472560192,TRUE,,
117,6037550802,4.002177735,7.117120228,FALSE,,
118,6037702201,6.670963174,6.670963174,TRUE,,
119,6059011403,7.929548255,7.929548255,TRUE,,
120,6053001200,5.51149534,5.51149534,TRUE,,
121,6037204920,9.483879507,9.483879507,TRUE,,
122,6037134422,5.083420281,5.083420281,TRUE,,
123,6037294421,7.519378485,7.519378485,TRUE,,
124,6037401001,3.845156762,3.845156762,TRUE,,
125,6067009310,4.878347793,4.878347793,TRUE,,
126,6085504412,4.302568701,4.302568701,TRUE,,
